I am going to Northampton,Noho,True,Amherst,False,False,Sarah,0.2377836512849679,1,0.5,1,1
I am going to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.5,1,1
I am going to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.5,1,1
I am going to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.5,1,1
I am going to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.5,1,1
I am going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.5,1,1
I am going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.5,1,1
I am going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.5,1,1
I am going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.5,1,1
I am going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.5,1,1
Eliza is going to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.5,1,1
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.5,1,1
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.5,1,1
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Jane,0.34401826877248765,1,0.5,1,1
Eliza is going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.5,1,1
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.5,1,1
Eliza is going to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.5,1,1
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.5,1,1
Eliza is going to Northampton,Amherst,False,Noho,True,False,Jane,0.34401826877248765,1,0.5,1,1
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Sarah,0.15598173122751233,1,0.5,1,1
Eliza is going to Northampton,Noho,False,Amherst,True,False,Sarah,0.15598173122751233,1,0.5,1,1
Eliza is going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.5,1,1
Eliza is going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.5,1,1
Eliza is going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.5,1,1
Eliza is going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.5,1,1
Eliza is going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.5,1,1
Eliza is coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.5,1,1
Eliza is coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.5,1,1
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.5,1,1
Eliza is coming to Northampton,Noho,False,Noho,True,False,Jane,0.34401826877248765,1,0.5,1,1
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.5,1,1
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Sarah,0.15598173122751233,1,0.5,1,1
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.5,1,1
Eliza is coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.5,1,1
Eliza is coming to Northampton,Noho,False,Noho,True,False,Sarah,0.15598173122751233,1,0.5,1,1
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.5,1,1
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.5,1,1
Eliza is coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.5,1,1
Eliza is coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.5,1,1
Eliza is coming to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.5,1,1
Eliza is coming to Northampton,Noho,False,Amherst,True,False,Jane,0.34401826877248765,1,0.5,1,1
Eliza is coming to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.5,1,1
You are coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,0,0
You are coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,0,0
You are coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,0,0
You are coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,0,0
You are coming to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,0,0
You are coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,0,0
You are coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,0,0
You are coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,0,0
You are coming to Northampton,Amherst,False,Noho,False,True,Sarah,1,1,0.75,0,0
You are coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,0,0
You are coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,0,0
You are coming to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,0,0
You are coming to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,0,0
You are coming to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,0,0
You are coming to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,0,0
You are coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,0,0
I am coming to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,0,0
I am coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,0,0
I am coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,0,0
I am coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,0,0
I am coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,0,0
I am coming to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,0,0
I am coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,0,0
I am coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,0,0
I am coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,0,0
I am coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,0,0
I am coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,0,0
I am coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,0,0
I am coming to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,0,0
I am coming to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,0,0
I am coming to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,0,0
I am coming to Northampton,Noho,True,Amherst,False,False,Jane,1,1,0.75,0,0
You are going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,0,0
You are going to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,0,0
You are going to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,0,0
You are going to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,0,0
You are going to Northampton,Amherst,False,Noho,False,True,Jane,0.24289531114035917,1,0.75,0,0
You are going to Northampton,Amherst,False,Amherst,False,True,Sarah,0.5142093777192812,1,0.75,0,0
You are going to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,0,0
You are going to Northampton,Amherst,False,Amherst,False,True,Jane,0.24289531114035917,1,0.75,0,0
You are going to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,0,0
You are going to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,0,0
You are going to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,0,0
You are going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,0,0
You are going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,0,0
You are going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,0,0
You are going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,0,0
You are going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,0,0
I am going to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,0,0
I am going to Northampton,Amherst,True,Amherst,False,False,Sarah,0.40447076866144294,1,0.75,0,0
I am going to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,0,0
I am going to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,0,0
I am going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,0,0
I am going to Northampton,Amherst,True,Amherst,False,False,Jane,0.19105846267711424,1,0.75,0,0
I am going to Northampton,Noho,True,Amherst,False,False,Sarah,0.40447076866144294,1,0.75,0,0
I am going to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,0,0
I am going to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,0,0
I am going to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,0,0
I am going to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,0,0
I am going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,0,0
I am going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,0,0
I am going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,0,0
I am going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,0,0
I am going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,0,0
Eliza is going to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,0,0
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,0,0
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,0,0
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Jane,0.1604106504123035,1,0.75,0,0
Eliza is going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,0,0
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,0,0
Eliza is going to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,0,0
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,0,0
Eliza is going to Northampton,Amherst,False,Noho,True,False,Jane,0.1604106504123035,1,0.75,0,0
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Sarah,0.3395893495876965,1,0.75,0,0
Eliza is going to Northampton,Noho,False,Amherst,True,False,Sarah,0.3395893495876965,1,0.75,0,0
Eliza is going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,0,0
Eliza is going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,0,0
Eliza is going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,0,0
Eliza is going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,0,0
Eliza is going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,0,0
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,0,0
Eliza is coming to Northampton,Noho,False,Noho,True,False,Jane,0.1604106504123035,1,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Sarah,0.3395893495876965,1,0.75,0,0
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,0,0
Eliza is coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,0,0
Eliza is coming to Northampton,Noho,False,Noho,True,False,Sarah,0.3395893495876965,1,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,0,0
Eliza is coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,0,0
Eliza is coming to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,0,0
Eliza is coming to Northampton,Noho,False,Amherst,True,False,Jane,0.1604106504123035,1,0.75,0,0
Eliza is coming to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,0,0
You are coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,1,1
You are coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,1,1
You are coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,1,1
You are coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,1,1
You are coming to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,1,1
You are coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,1,1
You are coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,1,1
You are coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,1,1
You are coming to Northampton,Amherst,False,Noho,False,True,Sarah,1,1,0.75,1,1
You are coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,1,1
You are coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,1,1
You are coming to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,1,1
You are coming to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,1,1
You are coming to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,1,1
You are coming to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,1,1
You are coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,1,1
I am coming to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,1,1
I am coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,1,1
I am coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,1,1
I am coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,1,1
I am coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,1,1
I am coming to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,1,1
I am coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,1,1
I am coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,1,1
I am coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,1,1
I am coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,1,1
I am coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,1,1
I am coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,1,1
I am coming to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,1,1
I am coming to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,1,1
I am coming to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,1,1
I am coming to Northampton,Noho,True,Amherst,False,False,Jane,1,1,0.75,1,1
You are going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,1,1
You are going to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,1,1
You are going to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,1,1
You are going to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,1,1
You are going to Northampton,Amherst,False,Noho,False,True,Jane,0.11518688659559446,1,0.75,1,1
You are going to Northampton,Amherst,False,Amherst,False,True,Sarah,0.7696262268088111,1,0.75,1,1
You are going to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,1,1
You are going to Northampton,Amherst,False,Amherst,False,True,Jane,0.11518688659559446,1,0.75,1,1
You are going to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,1,1
You are going to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,1,1
You are going to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,1,1
You are going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,1,1
You are going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,1,1
You are going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,1,1
You are going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,1,1
You are going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,1,1
I am going to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,1,1
I am going to Northampton,Amherst,True,Amherst,False,False,Sarah,0.46518854339478233,1,0.75,1,1
I am going to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,1,1
I am going to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,1,1
I am going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,1,1
I am going to Northampton,Amherst,True,Amherst,False,False,Jane,0.06962291321043519,1,0.75,1,1
I am going to Northampton,Noho,True,Amherst,False,False,Sarah,0.46518854339478233,1,0.75,1,1
I am going to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,1,1
I am going to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,1,1
I am going to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,1,1
I am going to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,1,1
I am going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,1,1
I am going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,1,1
I am going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,1,1
I am going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,1,1
I am going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,1,1
Eliza is going to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,1,1
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,1,1
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,1,1
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Jane,0.06509108242779178,1,0.75,1,1
Eliza is going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0.75,1,1
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,1,1
Eliza is going to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,1,1
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,1,1
Eliza is going to Northampton,Amherst,False,Noho,True,False,Jane,0.06509108242779178,1,0.75,1,1
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Sarah,0.43490891757220834,1,0.75,1,1
Eliza is going to Northampton,Noho,False,Amherst,True,False,Sarah,0.43490891757220834,1,0.75,1,1
Eliza is going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0.75,1,1
Eliza is going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,1,1
Eliza is going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0.75,1,1
Eliza is going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0.75,1,1
Eliza is going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,1,1
Eliza is coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0.75,1,1
Eliza is coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0.75,1,1
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0.75,1,1
Eliza is coming to Northampton,Noho,False,Noho,True,False,Jane,0.06509108242779178,1,0.75,1,1
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0.75,1,1
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Sarah,0.43490891757220834,1,0.75,1,1
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0.75,1,1
Eliza is coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0.75,1,1
Eliza is coming to Northampton,Noho,False,Noho,True,False,Sarah,0.43490891757220834,1,0.75,1,1
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0.75,1,1
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0.75,1,1
Eliza is coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0.75,1,1
Eliza is coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0.75,1,1
Eliza is coming to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0.75,1,1
Eliza is coming to Northampton,Noho,False,Amherst,True,False,Jane,0.06509108242779178,1,0.75,1,1
Eliza is coming to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0.75,1,1
You are coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0,0,0
You are coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0,0,0
You are coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0,0,0
You are coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0,0,0
You are coming to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0,0,0
You are coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0,0,0
You are coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0,0,0
You are coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0,0,0
You are coming to Northampton,Amherst,False,Noho,False,True,Sarah,1,1,0,0,0
You are coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0,0,0
You are coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0,0,0
You are coming to Northampton,Noho,False,Noho,True,False,Jane,0,1,0,0,0
You are coming to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0,0,0
You are coming to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0,0,0
You are coming to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0,0,0
You are coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0,0,0
I am coming to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0,0,0
I am coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0,0,0
I am coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0,0,0
I am coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0,0,0
I am coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0,0,0
I am coming to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0,0,0
I am coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0,0,0
I am coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0,0,0
I am coming to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0,0,0
I am coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0,0,0
I am coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0,0,0
I am coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0,0,0
I am coming to Northampton,Noho,False,Noho,True,False,Jane,0,1,0,0,0
I am coming to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0,0,0
I am coming to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0,0,0
I am coming to Northampton,Noho,True,Amherst,False,False,Jane,1,1,0,0,0
You are going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0,0,0
You are going to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0,0,0
You are going to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0,0,0
You are going to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0,0,0
You are going to Northampton,Amherst,False,Noho,False,True,Jane,0.33333333333333326,1,0,0,0
You are going to Northampton,Amherst,False,Amherst,False,True,Sarah,0.33333333333333326,1,0,0,0
You are going to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0,0,0
You are going to Northampton,Amherst,False,Amherst,False,True,Jane,0.33333333333333326,1,0,0,0
You are going to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0,0,0
You are going to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0,0,0
You are going to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0,0,0
You are going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0,0,0
You are going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0,0,0
You are going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0,0,0
You are going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0,0,0
You are going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0,0,0
I am going to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0,0,0
I am going to Northampton,Amherst,True,Amherst,False,False,Sarah,0.33333333333333326,1,0,0,0
I am going to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0,0,0
I am going to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0,0,0
I am going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0,0,0
I am going to Northampton,Amherst,True,Amherst,False,False,Jane,0.33333333333333326,1,0,0,0
I am going to Northampton,Noho,True,Amherst,False,False,Sarah,0.33333333333333326,1,0,0,0
I am going to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0,0,0
I am going to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0,0,0
I am going to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0,0,0
I am going to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0,0,0
I am going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0,0,0
I am going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0,0,0
I am going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0,0,0
I am going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0,0,0
I am going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0,0,0
Eliza is going to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0,0,0
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0,0,0
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0,0,0
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Jane,0.24999999999999994,1,0,0,0
Eliza is going to Northampton,Amherst,False,Noho,True,False,Sarah,0,1,0,0,0
Eliza is going to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0,0,0
Eliza is going to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0,0,0
Eliza is going to Northampton,Amherst,False,Amherst,False,True,Jane,0,1,0,0,0
Eliza is going to Northampton,Amherst,False,Noho,True,False,Jane,0.24999999999999994,1,0,0,0
Eliza is going to Northampton,Amherst,False,Amherst,True,False,Sarah,0.24999999999999994,1,0,0,0
Eliza is going to Northampton,Noho,False,Amherst,True,False,Sarah,0.24999999999999994,1,0,0,0
Eliza is going to Northampton,Noho,False,Noho,True,False,Jane,0,1,0,0,0
Eliza is going to Northampton,Noho,True,Amherst,False,False,Jane,0,1,0,0,0
Eliza is going to Northampton,Noho,False,Noho,True,False,Sarah,0,1,0,0,0
Eliza is going to Northampton,Noho,False,Amherst,True,False,Jane,0,1,0,0,0
Eliza is going to Northampton,Amherst,False,Noho,False,True,Sarah,0,1,0,0,0
Eliza is coming to Northampton,Amherst,False,Noho,False,True,Jane,0,1,0,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,False,True,Sarah,0,1,0,0,0
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Sarah,0,1,0,0,0
Eliza is coming to Northampton,Noho,False,Noho,True,False,Jane,0.24999999999999994,1,0,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Jane,0,1,0,0,0
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Sarah,0.24999999999999994,1,0,0,0
Eliza is coming to Northampton,Amherst,True,Amherst,False,False,Jane,0,1,0,0,0
Eliza is coming to Northampton,Noho,True,Amherst,False,False,Sarah,0,1,0,0,0
Eliza is coming to Northampton,Noho,False,Noho,True,False,Sarah,0.24999999999999994,1,0,0,0
Eliza is coming to Northampton,Amherst,False,Noho,True,False,Jane,0,1,0,0,0
Eliza is coming to Northampton,Amherst,False,Amherst,True,False,Sarah,0,1,0,0,0
Eliza is coming to Northampton,Noho,False,Amherst,True,False,Sarah,0,1,0,0,0
